date	time	observatory_code	device_code	device_resolution	devide_matrix
2019-02-22	12:01:57	ob_35634	de_10354	3x7	000000100100110110000
2019-02-25	03:24:21	ob_3482734	de_00234	4x6	000000000100010001100110
2019-02-25	03:27:00	ob_3482739	de_00234	4x6	0011111111100010001100110
2019-02-26	03:29:13	ob_3482734	de_00765	2x4	00001111
2019-01-26	03:29:13	ob_3482734	de_00765	2x4	00001111
2019-01-27	03:29:13	ob_3482734	de_00765	4x3	000001100110
2019-01-27	03:31:13	ob_3482734	de_00766	3x3	010011000
2019-01-27	03:45:13	ob_3482739	de_00767	4x2	10001100
2019-01-27	04:29:13	ob_3482739	de_00768	3x3	000100110
2019-01-27	05:29:13	ob_3482734	de_00765	4x4	0000010011100100
2019-01-28	03:29:13	ob_3482734	de_00765	3x5	000010111010000
2019-01-28	03:50:13	ob_3482739	de_00234	4x4	0010011011100000
2019-01-28	03:51:13	ob_3482739	de_00235	4x4	0001001101110000
2019-01-28	04:29:13	ob_3482734	de_00234	4x5	00000010011011100000
2019-01-28	05:29:13	ob_3482734	de_00765	4x4	0000111001000000
2019-01-29	03:29:13	ob_3482739	de_00234	3x5	000111010000000
2019-01-29	04:29:13	ob_3482739	de_00765	3x6	000111010010111000
2019-01-29	05:29:13	ob_3482734	de_00234	5x4	01110001000010001110
2019-01-30	03:29:13	ob_3482734	de_00234	4x5	00000110010001100000
2019-01-30	04:29:13	ob_3482739	de_00765	2x5	1110110000
2019-01-30	05:29:13	ob_3482734	de_00766	3x6	000110100110000000
2019-01-31	03:29:13	ob_35634	de_00765	4x4	0000001100100011
